Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2010-01-05,0.0017285939439017906,0.0,-0.008078852607264153,0.006180443734148389,0.016446497919709424,-0.018735231776094152,0.001030951451389095,-0.008661947032436945,0.0165667403519707,0.0058998892697967875,0.00742348999556075,-0.0021990233920501367,0.032751854257512036,0.032504435993171654,0.010604336782606971,0.011609159713109385,0.004316929980563655,-0.015606864437464285,0.004832372227806303,0.03823519520886198,0.011955781320316827,0.0,0.008086903835397008,-0.013553419699580349,0.03943665967682253,0.0009510029184696123,-0.003029942601753488,-0.004277071145975975,-0.00445492600976527,-0.003942105113752037,0.007083592047729015,-0.0037460650077912883,-0.0011979235574247626,-0.0024947629747066324,-0.016499634675113506,0.001615492044806155,0.013061638692835942,0.0015900095299155037,0.0051783464398345025,-0.0009241643033570668,0.0,-0.004403684186199519,-0.0044036968081629935,0.017679266685201922,0.007324729749345504,0.0019825226830121334,-0.01208040647215336,-0.000479044061966305,0.0,-0.004501767816991409,-0.011595510488622063,0.019370099130050722,-0.012096753475299704,-0.018636427468844974,-0.01758740269782777,0.010409363192509069,-0.010362772526895103,-0.0029592256543866657,-0.0076462263483785264,0.04885115777665683,0.020500519869702583,0.02314048371969979,0.0,-0.0062634512468282555,0.0005048913838112679,0.004052885769626924,0.03655758147772681,0.00032316744781879514,-0.0097651543983297,-0.036836232834096205,0.0039785041194413395,0.0,0.014602578482311834,-0.001207317062779989,0.01208335319460363,-0.014262948137870324,0.00032732427732917735,0.0,-0.008713736358934243,0.0,0.024073336562438152,-0.014937884458162465,0.02342738202855643,-0.003033367748047744,-0.02015068520016783,-0.006842108013244919,-0.00489807023084432,0.003707985419878712,0.0033682816731257503,0.00250932625664424,0.0,-0.005766338139067684,-0.001585711571347126,0.01391700218742864,0.0017193647248376909,0.02534967183496173,-0.011458702493599926,0.0018029188485233494,0.02745228435139002,-0.009957870099815525,0.0039045720666046613
2010-01-06,-0.015905895917869617,0.0,0.0055535811237232835,0.0106309742628512,-0.002122064441264726,-0.006477906281410095,-0.014418160944669745,-0.007514778219671725,0.005206229347388902,-0.018115634693665172,0.007894782042217274,0.016164359937195227,0.030334335902573395,0.011728768085567776,-0.015040324623038392,-0.03301555674993917,-0.020616691192563708,-0.00039643046372417334,-0.005109767998302095,0.031161329589825426,0.003037940533393124,0.0,-0.002274505636183255,-0.007168175325480641,0.0054203815888829165,0.007220286355569039,0.013000220348845293,-0.0017448496919825196,-0.0065091568645869735,-0.008827561367792058,0.00012561083759776714,-0.0026853234551583727,0.001864988966474579,-0.0053141882944134355,0.0035949513863597904,0.008981630847686883,-0.008280145641464953,-0.0008658867515688451,-0.005151669311396656,0.03467426194921597,0.0,-0.025208733350485457,-0.025208661814019706,-0.010673401575374553,-0.0034626129562060903,0.0,-0.006495831899254401,-0.0033541392630491718,-0.013956575116021774,0.014509737475024043,0.008133957484022458,0.0054944434442141254,-0.0003549710740833323,0.00887030507036446,0.0073881534268291915,-0.014681175160520588,0.0026182874692182168,-0.0014456733080447925,-0.013643689018312477,0.006951902697233336,0.01648226156422128,0.010231280403097065,0.0,0.01418174519696458,0.014646629338763484,0.0134553859305524,0.012796979730807845,-0.006136967907376389,0.009861453009559984,0.035138901254934574,-0.006096861281165711,0.0,0.006396773915470666,-0.014504464217165558,-0.010003161052443588,-0.0032153398316568937,-0.004743238144239825,0.0,0.0,0.0,-0.009777246483542834,-0.005243241164861412,-0.007206747137273317,-0.018255699876044917,0.014119379576909896,-0.011227421420557882,-0.009824407295159099,0.01908456572159234,0.00944185937913411,-0.06758450641254832,0.0,-0.007347409596538568,0.009847650494388294,0.001508022445037227,-0.0073783976558481346,0.010656525752450241,-0.013427993443812514,-0.028754133336762466,0.0014249644493251612,-0.002235166241504216,0.008642829808503283
2010-01-07,-0.001849262360473558,0.0,0.008284106493620325,-0.0009350925726379078,-0.019404560418996186,-0.019217636094401302,-0.010449261335869764,-0.009156881868828903,-0.002702115715181863,-0.0170132608680289,-0.006266178448084747,0.01621917905246062,0.04048192009402363,0.03294704197874854,0.04225877664945488,-0.013465377208701224,0.01099420253732264,0.0007928580454084067,0.003927524897527457,0.0027476241616568586,0.00403860292692082,0.0,-0.003960538443391615,0.021058767050467164,0.04949784529487511,-0.003961282230363183,-0.004833374256074552,-0.004437166437601614,0.004504060962724932,0.036854698364388705,-0.0037674127013319625,0.0071806960437201806,0.008244613003702383,0.00031433906553934854,0.004776172867883677,0.0,-0.010854062552641874,0.002888341885430634,0.05177991967370388,0.002457758034851265,0.0,-0.023279554070236186,-0.023279488197368248,0.01956856074147484,0.0118140956631001,0.01929269637088038,-0.003461781155271626,-0.009615395509591118,-0.003291473990406635,-0.003751844930495407,-0.007137397377621313,0.019808649785679755,-0.002485788256539223,0.002600824801333612,-0.005077802418423816,-0.02744737944545017,0.028720366540031295,-0.006534606800311038,0.007323448351286732,-0.0024162829261497043,0.009265299942464278,0.014125801540679328,0.0,0.0007172418298633243,-0.0014934422506033274,0.0015931383490641604,0.014483397836722256,-0.01039970820689573,-0.0028167576077086087,-0.017254394822886487,0.00981470444146959,0.0,-0.019597637679739432,-0.003270749523602734,-0.006355922928049984,-0.003763494107160592,-0.005423396949934212,0.0,0.012469538420165849,0.0,0.028991211010520157,0.004273612359229073,-0.00256209704887822,-0.0036155242608912896,-0.004237649575112079,0.01303219698585889,-0.011227570497486572,0.012283766815895492,0.0,0.009396015037415717,0.0,0.0031168458453205705,0.038376825088434874,-0.008885582926588587,-0.0076058923669403145,0.01940119160550502,0.0093061258760756,-0.005952195834600715,0.03628640598709665,0.0005601543306195111,-0.003141679586815882
2010-01-08,0.006648745255410926,0.0,0.005112098486775407,-0.003977334109348862,-0.0054215442192602215,0.026592018153635877,-0.004223860689032355,0.008886122533663832,0.0020322498033380487,0.027076941270094634,0.007356462745470971,-0.0007147558441784607,-0.00964634653793961,-0.008859777982311301,0.006132792729515835,0.00037027758685792556,0.00703880941209456,-0.016639999005669925,-0.00030088238552317126,-0.016438157484554794,0.011228561371363854,-0.042857142857142816,-0.017951824227812052,-0.00294638208700293,-0.008638565574351498,0.008711350282661678,-0.007201402123500955,0.0014855437620500123,0.005299832956351391,0.0071090864530920506,0.0017649802700419048,0.02727288851311216,0.013980520126511076,0.0015709925013436266,0.0005944329032567808,0.0057065510343423664,0.02484016661710431,0.0,0.021538168900085752,-0.007354417607494446,0.0,0.013331175675922458,0.01333108867990207,-0.018911041791542238,-0.004808099033066893,0.022082054382669192,0.010034823137384352,0.01116484324196021,0.026419957936025362,-0.0055043032759710675,0.0034383932231996095,-0.0024560256652561563,-0.018508348408599606,0.006547022095694022,-0.007655044123188182,0.016127045146018704,-0.0021146004477776703,0.000354713421522046,-0.0009698232519624872,0.001038037860197738,0.00524636706423065,0.005256540588150838,0.0,0.007046607618808931,0.002493376675868353,-0.0005299954943763785,-0.02035230853800385,0.00689628551822552,-0.008662673277830102,0.017175647888867163,-0.0019743228738777763,0.0,0.0021608928263034954,0.012305438497220544,-0.0032801915282506533,0.008094644773591453,-0.0013217863056768087,0.0,-0.005451116351913088,0.0,0.01000442988320116,0.0019862286332996693,-0.003424154763185916,-0.006739004121343317,-0.0021277848790007825,-0.02394592947344165,-0.007325641304558594,-0.0039787118874720084,0.01683646365123148,-0.05585099743426902,0.0,0.022912297838151074,-0.009390924557542313,0.03388547703659506,0.04807494186877781,0.0016547740510581832,0.0027663511868067925,0.0006302985906034841,-0.009268893265077294,-0.0050373834740427,-0.004011420645456565
2010-01-11,-0.00882149120246567,0.0,0.0050861994110684705,-0.0009399413587062311,-0.013082571823453293,0.009884030026531487,-0.030752911184303455,0.0044037829438488,-0.009013101304725768,-0.024041349123433142,0.006259817710977389,-0.011441895560814874,-0.011851059259349372,0.00893897531902721,-0.017270529308688443,0.012487748191426506,0.01628200640270272,0.010475521101457996,0.0009030336602811051,0.011141667138441225,0.06281064821990645,0.0,-0.004416571510014067,-0.006501008749031256,-0.017899493836714964,0.005821131784397249,0.0011806442611559387,-0.006742907630725381,-0.002838774768644692,-0.002058777190903638,0.017742177782952506,0.040256612509468104,0.011316927461814119,-0.016311387611817718,0.010094263853626328,0.015206357676051274,0.02659191214380008,0.018577773223479754,0.009639148065192726,0.007857972473305441,0.0,-0.0015115784261832133,-0.0015116182036332138,-0.015776584394492477,-0.028295320198932883,0.012583419240582927,-0.010470007039551477,0.005760844655183117,0.0045044860844434265,0.007541410752527566,0.0001552858994731121,-0.00335647185373833,0.020308257453596212,0.009448559100387,0.013714269565143322,0.0047610192190112866,-0.008478671837543916,-0.01645836948944268,0.0077622700052939475,-0.004493758695953698,-0.003914359148973534,0.006535566854300123,0.0,-0.004032693263247067,0.007458154253868532,0.003978796002924723,-0.0065117412439318345,-0.012720425932904011,-0.0007600352106708064,-0.0013132882210803443,-0.012324864968108029,0.0,-0.014015867742045551,0.0004053063871309881,-0.0011517765453307183,0.008029941417475595,-0.003971000915657941,0.0,0.003654128872874862,0.0,-0.003638964598992156,0.021662673038274738,-0.003006873129165921,-0.0026105101344929826,0.013097587264926824,0.0009133001478947023,-0.004797337445862748,0.002196895721643388,0.011856320882901894,0.012676004853631184,0.0,-0.012908466206191904,0.006727810503887932,-0.0066136868463048115,0.04404208768397999,0.004543451509241292,-0.002873181173790762,0.004093944209827782,-0.002079133778328135,0.016500851779134074,0.011219525462219382
2010-01-12,-0.011374772713064085,0.0,-0.002891764115550477,-0.006348210641466179,-0.015189153575438596,-0.03948699838742442,-0.05361058056747792,-0.017362496673451577,-0.012278635889944822,-0.022715100723843973,-0.015033580574848493,0.013262181415627738,-0.007228052312781341,-0.03366795637078479,0.0017227441495486495,-0.02252072215923362,-0.017874204449327413,-0.010766042694662081,-0.007518796992481258,-0.03030282006256635,-0.029471441841827706,0.0,-0.005791718912076971,-0.017846789141297115,0.0038368245286934943,-0.02128045185747207,-0.005391600684388265,-0.07277666924888693,-0.01585976086830765,-0.010904877975239868,-0.005810873701178942,-0.04270204389346377,-0.013891103744509747,-0.017219407140547593,0.001176504969990111,-0.005365161781641592,-0.007679192839601723,-0.006079877329771111,0.0005962825793861537,0.001336995872843083,0.0,-0.017684029627346498,-0.01768390245717144,-0.021800043889979803,-0.006391809100877777,-0.011254641104290086,0.007954899747267818,-0.01622865494329584,0.0,-0.022165819747218762,0.005294334051039407,-0.023355679488648695,0.010840601544062745,-0.010698007855943437,-0.0033824481477234825,-0.0001315678169945267,-0.0025651372350034007,-0.0005605625190667762,0.005455741859830221,0.01701389379279239,-0.010696174876945741,0.00025990416439625186,0.0,0.000833866509345027,-0.005429330058939419,-0.00792614380240464,-0.028402137950768958,-0.006606954355984684,-0.02433464995051382,-0.016156295368056295,-0.0013865891598150437,0.0,-0.033898629145808656,-0.0052657049526346755,0.014002968666728677,-0.0031862151723569543,0.011462254986925213,0.0,-0.0054611975054281725,0.0,-0.016230194457779623,-0.00582035726318797,-0.016803657928583515,-0.0010463308764967483,-0.006313137573146443,-0.019686762678393865,-0.0003705859725313676,-0.016739561100378997,-0.016566085144233744,-0.11682903345969231,0.0,-0.04192254589529232,-0.02642777793104767,-0.002959342412143018,-0.006685581002974561,-0.0004110495749466425,-0.004726265702628241,0.0009418284728812676,-0.025000007404279656,0.00959298450998447,-0.004978517106783986
2010-01-13,0.014105157761357345,0.0,0.009494525191657832,0.011358113403513004,0.017386397491242933,0.021082108613664108,0.057803470757257,0.008923695164793077,0.021178849624213125,0.013820227706130561,-0.030526343002737044,0.0030944784105446654,0.012079942768175478,0.01589229040850504,0.007567969308745592,0.0014955595664305488,0.003983591043698054,0.0072554530408357465,0.0,-0.005682011685128274,0.001445863427268046,-0.02238805970149249,0.0047100247010269936,0.015748193582988845,0.006211354515771816,0.006294022370667562,0.006268027482575933,0.003074974904995642,0.018181465573898548,0.012216731146688753,-0.007586285715478369,0.015682543053062048,0.0024782135995500276,0.015249989768269412,0.0023484934562618687,0.0006743692377013666,-0.008778110228085723,0.01644755567581835,0.0035778494289639973,0.012457558925386358,0.0,-0.005741118167428949,-0.005741123964129735,0.00744843786146876,0.005360690913886357,0.0035574442959180885,-0.002145098347066998,0.016981760024789905,0.011531180596053847,0.005420707712529893,0.0063509822876650635,0.017474870348461513,0.0026370473485577417,0.017694967996422672,0.013857407586746584,0.012111402069422184,-0.004715079444921222,0.025995606229452184,-0.0011174593836162927,-0.0020485026530743244,0.005737025013358821,-0.015320890347801264,0.0,-0.0032126494048883014,0.004466505325793069,0.036750939027532015,0.004176566186872455,0.009311643480000908,0.0035074335197566864,0.030360757832498253,0.008947769366823177,0.0,0.013582296988191578,0.00977229773280519,0.008123495599571262,0.02344169306942545,0.010346190314057147,0.0,0.010168999033510318,0.0,0.004330740430767754,0.01142979229260277,0.024540003056086723,0.0005236527305494398,0.014220785266119806,0.010107076671416637,-0.011869551487354912,0.0,0.0004109738942452701,-0.00314959403934878,0.0,0.004415452871671555,0.015288870611985583,0.001186858303016347,-0.005288744842378179,0.016454296253580303,0.009265464209703422,-0.0012536929621436155,0.017806520727679853,0.0051160153985219115,-0.004002722025366667
2010-01-14,-0.005791655505867688,0.0,0.00108464322866908,0.00889063600786355,-0.010474015055227048,-0.015829270502647264,-0.016393401615722225,-0.006545355984563184,0.005635771915512899,-0.013631832674516842,0.0005431043780494971,0.012573676349991736,0.006540386693729694,0.01203325591936033,-0.0013654911299908479,-0.025804973439941592,-0.00634864525239176,0.0024007860005814674,-0.0006060744776870131,0.002857312674008128,-0.0056154957166898445,0.0,-0.007895435320590782,-0.005963198403362235,-0.010683808089196778,0.004169393967813351,-0.011447336439489253,0.010072964943286467,0.012581452938654758,-0.0005885020111480177,-0.0031326620686368267,0.0010291311154044802,0.0041636732351251204,-0.008628928106695133,0.0,0.009433824496772436,0.005476515040109042,0.0004221804704513943,-0.0077239908201381935,-0.0010983545601511713,0.0,0.004701234431989665,0.00470111656328509,-0.003194089826887514,0.006043542372087929,0.005906737630151371,0.015971436108666026,0.024809176934547317,0.006333076264988469,0.006404376187239436,0.0020008002465803365,0.009943738128752821,0.0017538003110824096,-0.021854739659302735,0.0041842229503075146,-0.0005202016008521992,-0.001291796227270381,0.016904110842849596,0.0009587613915502669,-0.00376340221237903,0.008775029641504117,0.009493784181657139,0.0,-0.003342126866688333,0.006916769725636263,0.027228661752814354,-0.0019193100789418605,0.020099087714508412,-0.028931834454327898,-0.055040673213516356,-0.0062690131344268485,0.0,-0.015633502612866446,0.023838442594166454,0.012087246679540531,0.008849235601529948,0.0009761683415117073,0.0,-0.0014099043287116864,0.0,-0.006776284847422875,0.0034450115230462153,0.007270946566850567,0.004189152165992471,-0.002387285668940309,0.004476670379212289,-0.0168919454134705,0.015402783674738352,-0.005749373604768349,-0.015797726622349018,0.0,-0.01239025276933059,0.023970502646700753,-0.016154898139547513,0.0020944436365031294,0.025090844339830554,0.0034427856167589255,-0.020395061950087,0.014345641815286081,-0.014543444480365375,0.00014337948161791125
2010-01-15,-0.01671203270440269,0.0,0.002529629667511246,-0.007189303887416121,-0.0008357268166830911,-0.01888101968069844,-0.017777760823567745,0.0016027927014852228,-0.013674191356431997,-0.001648991677534517,-0.01030954841018028,-0.006794835995870163,-0.012021064955102578,-0.033293333438785266,-0.007521303202714824,0.0,0.0007986272029736341,0.000798494431943686,-0.015463866846937568,-0.02564125377331028,-0.02339155831607409,-0.01526717557251911,-0.0052232332178344665,-0.002399161869818034,-0.012959298831536126,0.0007549459560360905,0.0011914474331369274,-0.008093642728942974,-0.02204447491275774,-0.0011784164745867187,-0.004022380160290329,-0.03461897260724878,-0.012568171484319324,-0.013539577608914444,-0.009958985645522112,-0.013796782465589574,-0.013674839738545663,-0.006891988650798875,-0.015568820801838301,0.0013199953381304308,0.0,-0.016699231023747818,-0.016699131429642855,-0.01969973336672659,0.009540621313333109,0.0014095155572699802,-0.004005595823123653,-0.031657270892198275,-0.010069668456989644,0.0018831476455081209,-0.00829510525965349,-0.02259978146166941,-0.014703416354687748,-0.0006171932848056949,-0.0049999851372637405,-0.0010410245053735778,0.0012992163481053698,0.008331081185657396,-0.0059057415743160036,0.015797366497260157,-0.008046272049986314,-0.011232873280182187,0.0,-0.0015566657407224405,0.001963001193816538,-0.0130031687086134,-0.026282423081021244,-0.003230056473716214,0.010797689239075758,-0.0007845509256031447,-0.009232430893056032,0.0,-0.029495270185771028,-0.0039461179921800316,-0.008121210842261029,0.005676482859262588,-0.01234192100138809,0.0,0.00040371544968964557,0.0,0.0033080800577889313,-0.011262070944085822,-0.011889393187821895,-0.009385562147389725,-0.0029903514598781378,-0.01835057844336596,-0.015273119296852822,0.0013975722252255185,-0.013837152585021273,0.014446359541955944,0.0,-0.008497702382875394,0.012904981101049762,-0.012202438417516781,-0.004340806863797453,-0.02802982266373244,-0.014867324756613343,-0.020500017802131287,-0.031390323205804926,-0.009776425928015087,-0.008180212091459693
2010-01-19,0.0442385073114393,0.0,0.012795172713927272,0.021957878241895656,0.030108777898364414,0.006771416549147924,0.019230777529362086,0.023111388925073584,0.004318004822370769,0.0036967069581697043,-0.02357463689276662,0.013446434280160346,-0.002795109146573327,0.0036896126040639743,0.017223464288265156,-0.0003353780136547968,0.00806448390214487,0.02313511778339561,0.02617796249355009,0.03508767149717196,0.013473391257064371,-0.007751937984496138,0.007375323634644326,0.01082373722471619,0.045708886507868085,0.01301433772633298,0.0027214334625134118,0.012676744362324133,0.018442899828480686,0.0011798067783310717,0.005679515082523734,0.023610879435217225,0.007872939382590038,0.0133985424517431,0.011242297393769585,0.009251233319069518,0.009282242528183993,0.001133174881895016,0.006082488224981253,0.01669585159631648,0.0,0.0131380210898433,0.013137913564488679,0.009987159039849924,0.010850454806895504,0.005160709283359877,0.017908523346993777,0.01201912046539011,0.008582857565428537,0.0072266001368039845,0.012236690131381955,-0.009157384105964561,0.0023093375552956097,0.00148220394843257,0.0443891768761262,0.020192796224280718,-0.0008650564951767636,0.007995088809874762,0.019267779824225117,-0.00574742705968756,0.009208900813868715,0.03962986772259014,0.0,0.020990643787069496,-0.00195915536948732,0.02913591172299701,0.025675258695245784,0.007777075539579403,0.006725637391700845,0.004906883853600608,0.004969990200443197,0.0,0.018702473584574886,0.0035653996428830492,0.0006423852762955651,0.0261669649998022,0.014797055221492439,0.0,0.009472081070345473,0.0,0.016278915619654555,0.004167607561810005,0.01332218815317221,0.015263903526568923,0.009298995111856279,0.0236347803031689,0.015897621705438514,0.020530231302656077,0.025549668923202873,0.012658175984552766,0.0,0.008979031631552115,0.04088863656002428,-0.0007624462765150053,0.005167207970810717,-0.005280235111352338,0.019851730062949935,0.02125570497049245,0.00712248678494265,0.006520460657834848,0.0023148182196961464
